,idx,platform,head,review,description,image,url,course
538,538,simplilearn,Professional Certificate Program in Cloud Computing and DevOps,4.7 (6081),"Application Migration,Cloud Workloads,Database Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/aws_master_64x.svgz,https://www.simplilearn.com/cloud-computing-devops-course?tag=Blogging,Blogging
639,639,edx,Uncovering the Voices of Japanese Literature,WasedaX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fc2bb4096-9dbd-40d1-a4e9-d580dbbc9e48-5d1be3893b0c.png&w=256&q=75,https://www.edx.org/learn/literature/waseda-university-uncovering-the-voices-of-japanese-literature?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=11,Graphic Design
888,888,learnvern,Web Designing with HTML and HTML5 Course,102909,,https://assets.learnvern.com/course/icons/58504.svg,https://www.learnvern.com/course/html5-tutorial-in-hindi,Adaptability and Resilience
278,278,coursera,IBM iOS and Android Mobile App Developer,6.5K reviews,"Skills you'll gain: React Native, Prompt Engineering, Software Development Life Cycle, Flutter (Software), Swift Programming, Apple Xcode, Mobile Development, Android Studio, User Centered Design, Android Development, Apple iOS, React Redux, Software Architecture, Development Environment, Git (Version Control System), GitHub, React.js, Cascading Style Sheets (CSS), Android (Operating System), AI Personalization",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/13/a93b285d1543d78cea3ad26c801156/600x600px_153542498.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc,Mobile App Development
539,539,simplilearn,Professional Certificate Course in Data Analytics and Generative AI,4.8 (2045),"Generative AI,Prompt Engineering,Data Analytics using Python,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/Azure_48px.svgz,https://www.simplilearn.com/iitk-professional-certificate-course-data-analytics?tag=Blogging,Blogging
640,640,edx,Public Library Marketing and Public Relations,MichiganX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Febf3ff9d-a40b-4cbe-84a1-ef7fe4f35beb-61ffe82bb9c2.png&w=256&q=75,https://www.edx.org/learn/marketing-strategy/the-university-of-michigan-public-library-marketing-and-public-relations?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=12,Graphic Design
889,889,learnvern,Live Project in Android with Source Code,22449,,https://assets.learnvern.com/course/icons/73608.svg,https://www.learnvern.com/course/zomato-application-in-android,Adaptability and Resilience
279,279,coursera,Introduction to Mobile App Development,131 reviews,"Skills you'll gain: Mobile Development, Mobile Development Tools, iOS Development, Flutter (Software), Integrated Development Environments, Apple iOS, Android Studio, Application Development, Swift Programming, React Native, Apple Xcode, Application Frameworks, Web Applications, Cross Platform Development, Software Testing, Cloud Hosting, Data Management",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/31/3f34e873e749238fc03e9134eef492/1200x1200px_355272397-1-.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/learn/introduction-to-mobile-app-development,Mobile App Development
540,540,simplilearn,Generative AI for Business Transformation,4.6 (373),"Scaling AI Initiatives,Conversational AI,AI Risk Assessment,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/Azure_48px.svgz,https://www.simplilearn.com/generative-ai-for-business-transformation-course?tag=Blogging,Blogging
641,641,edx,Fostering women's participation to STEM through MOOCs,UPValenciaX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F518a47f2-66fb-4529-8902-a4f7ca3002ef-32e55d44aff3.png&w=256&q=75,https://www.edx.org/learn/stem/universitat-politecnica-de-valencia-fostering-women-s-participation-to-stem-through-moocs?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=13,Graphic Design
890,890,learnvern,2D Character Design And Animation for Games,28486,,https://assets.learnvern.com/course/icons/98347.svg,https://www.learnvern.com/course/2d-character-design-and-animation,Adaptability and Resilience
280,280,coursera,"Python for Data Science, AI & Development",42K reviews,"Skills you'll gain: Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/learn/python-for-applied-data-science-ai,Mobile App Development
541,541,simplilearn,Professional Certificate Program in Cloud Computing and DevOps - IITG,4.8 (445),"Application Migration,Cloud Workloads,Database Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/aws_master_64x.svgz,https://www.simplilearn.com/professional-certificate-program-cloud-computing-devops?tag=Blogging,Blogging
642,642,edx,Value Proposition Design,IPL,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F1e2adb13-5e26-4e31-9a99-b3df1fed0618-e5efa94f5060.png&w=256&q=75,https://www.edx.org/learn/design/institute-of-product-leadership-ipl-value-proposition-design?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=14,Graphic Design
891,891,learnvern,Cyber Forensics Masterclass with Hands on learning,23264,,https://assets.learnvern.com/course/icons/69419.svg,https://www.learnvern.com/course/cyber-forensics-course,Adaptability and Resilience
281,281,coursera,Meta Android Developer,8.7K reviews,"Skills you'll gain: React Native, Android Studio, Restful API, Version Control, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development, Javascript",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/09/69b533e9b74b32981da56adc173d07/Android-dev-ProCert.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/professional-certificates/meta-android-developer,Mobile App Development
582,582,simplilearn,DevOps Engineer Masters Program,4.6 (34823),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/devops-engineer-masters-program-certification-training?tag=Video%20Content%20Creation,Video Content Creation
643,643,edx,The Book: Making and Meaning in the Medieval Manuscript,HarvardX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F44022f13-20df-4666-9111-cede3e5dc5b6-2cc39992c67a.png&w=256&q=75,https://www.edx.org/learn/literature/harvard-university-the-book-making-and-meaning-in-the-medieval-manuscript?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=15,Graphic Design
892,892,learnvern,Master Solidworks 2022 with Real Time Examples and Projects,23961,,https://assets.learnvern.com/course/icons/43564.svg,https://www.learnvern.com/course/solidworks-tutorial,Adaptability and Resilience
282,282,coursera,Meta Android UI Development,1.8K reviews,"Skills you'll gain: Android Studio, Android Jetpack, Kotlin, Android Development, Android (Operating System), Responsive Web Design, Mobile Development, Unit Testing, Gradle, User Interface (UI) Design, Application Development, User Interface (UI), Integrated Development Environments, Object Oriented Programming (OOP), Development Environment, Programming Principles, Test Driven Development (TDD), Cross Platform Development, Wireframing, Prototyping",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/68/4c397127db4d5db833850765375774/Meta-Android-UI-Development.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/specializations/meta-android-ui-development,Mobile App Development
583,583,simplilearn,AWS Cloud Architect Masters Program,4.4 (20014),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/AWS_48px.svgz,https://www.simplilearn.com/aws-cloud-architect-certification-training-course?tag=Video%20Content%20Creation,Video Content Creation
644,644,edx,Teaching Complex Thinking through Art with the National Gallery of Art,SmithsonianX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogo_override%2Fa2081b4c-f608-44bc-94bc-ba761c9183f2-380470e55fa9.jpeg&w=256&q=75,https://www.edx.org/learn/art/the-smithsonian-institution-teaching-complex-thinking-through-art-with-the-national-gallery-of-art?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=16,Graphic Design
893,893,learnvern,Texturing And Lighting With MAYA,3481,,https://assets.learnvern.com/course/icons/69453.svg,https://www.learnvern.com/course/maya-texturing-and-lighting,Adaptability and Resilience
283,283,coursera,Google Project Management:,131K reviews,"Skills you'll gain: Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Stakeholder Communications, Milestones (Project Management), Quality Assessment, Team Management, Agile Methodology, Project Documentation, Change Management, Interviewing Skills, Applicant Tracking Systems",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c5/be54f7d5254653aeadd182dc2c3d93/brittany.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=faces,https://www.coursera.org/professional-certificates/google-project-management,Mobile App Development
584,584,simplilearn,PMP® Renewal Pack,4.4 (29652),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/PMI_48px.svgz,https://www.simplilearn.com/pmp-renewal-pack-to-earn-pdus-masters-program?tag=Video%20Content%20Creation,Video Content Creation
645,645,edx,Digital Learning Design,ZHAWx,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F36304736-96de-45a9-9176-49fe80846a17-d55ca16b8b12.png&w=256&q=75,https://www.edx.org/learn/education-teacher-training/zhaw-zurich-university-of-applied-sciences-digital-learning-design-2?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=17,Graphic Design
894,894,learnvern,Python Programming with Hands on Practicals in English,16634,,https://assets.learnvern.com/course/icons/33290.svg,https://www.learnvern.com/course/core-python-programming-tutorial,Adaptability and Resilience
284,284,coursera,Software Development Lifecycle,9.7K reviews,"Skills you'll gain: User Story, Agile Software Development, Software Design Patterns, Design Thinking, Software Development Methodologies, Software Design, Agile Methodology, Agile Project Management, Process Mapping, Software Engineering, Kanban Principles, Software Development Life Cycle, Software Quality Assurance, Application Security, Scrum (Software Development), Object Oriented Design, Software Architecture, User Experience Design, Software Quality (SQA/SQC), Requirements Analysis",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/17/6b66f0a7ea11e7a885e33e8374f520/software_development_lifecycle_logo_pexels_CC0.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/specializations/software-development-lifecycle,Mobile App Development
585,585,simplilearn,Cloud Architect Masters Program,4.5 (32806),"Website Creation,Behavioral Marketing,Keyword Research,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/AWS_Azure_48px.svgz,https://www.simplilearn.com/cloud-solutions-architect-masters-program-training?tag=Video%20Content%20Creation,Video Content Creation
646,646,edx,Worldviews - From Sustainability to Regeneration,ETHx,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F9c5eef81-4eac-4f0d-9ca1-c668ccce5d73-af28b99903dc.png&w=256&q=75,https://www.edx.org/learn/ethics/eth-zurich-worldviews-from-sustainability-to-regeneration?index=product&queryId=1e0c83d213f2cca4fd6326d815976f54&position=18,Graphic Design
895,895,learnvern,Git And Github Course - Master Git And Github,8258,,https://assets.learnvern.com/course/icons/89371.svg,https://www.learnvern.com/git-and-github-tutorial,Adaptability and Resilience
