,Heading,Revewe,Description,URL,image
10,IBM DevOps and Software Engineering,61K reviews,"Skills you'll gain: User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Continuous Integration, Software Development Life Cycle, Software Architecture, Linux Commands, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, DevOps, Git (Version Control System), Flask (Web Framework), Grafana, Software Engineering, Data Import/Export, Application Development",https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/15/5a6680ad944ecc8fdf50668cedc39f/IBM-DevOps-and-Software-Engineering.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
11,Data Science Fundamentals with Python and SQL,72K reviews,"Skills you'll gain: Dashboard, SQL, Descriptive Statistics, Jupyter, Statistical Analysis, Data Analysis, Probability Distribution, Pandas (Python Package), Data Visualization Software, Statistics, Data Visualization, Relational Databases, Stored Procedure, Data Import/Export, Data Science, Programming Principles, Computer Programming Tools, Data Analysis Software, Web Scraping, Python Programming",https://www.coursera.org/specializations/data-science-fundamentals-python-sql,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/0202c87e244d30bdecd889bd2719ae/DataScienceFundamentalsPythonSQL.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
12,Business Foundations,26K reviews,"Skills you'll gain: Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, Process Management, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Marketing, Marketing Planning, Peer Review, Corporate Finance",https://www.coursera.org/specializations/wharton-business-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/wharton-business-foundations/wharton-business-foundations-logo.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop
13,IBM Back-End Development,49K reviews,"Skills you'll gain: Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Software Architecture, Linux Commands, Application Deployment, NoSQL, Kubernetes, Bash (Scripting Language), MongoDB, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Flask (Web Framework), Grafana, Microservices, Data Import/Export, Python Programming",https://www.coursera.org/professional-certificates/ibm-backend-development,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0e/c51a270f394fed8ee2dbfbc5faf04c/IBM-Back-End-Development.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
14,IBM Data Analytics with Excel and R,29K reviews,"Skills you'll gain: Data Storytelling, Interactive Data Visualization, Data Visualization Software, Data Visualization, Shiny (R Package), Data Wrangling, Exploratory Data Analysis, Relational Databases, Big Data, Ggplot2, Database Design, Data Analysis, IBM Cognos Analytics, Data Presentation, Data Mining, Dashboard, Excel Formulas, Data Manipulation, Web Scraping, Microsoft Excel",https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a0/6bda7e8f7245b3ada2915a88e5ad65/DataAnalyticswith-ExcelandR-PC.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
15,Microsoft Power BI Data Analyst,7.6K reviews,"Skills you'll gain: Data Storytelling, Dashboard, Excel Formulas, Extract, Transform, Load, Power BI, Data Analysis Expressions (DAX), Microsoft Excel, Microsoft Copilot, Data Modeling, Data-Driven Decision-Making, Star Schema, Data Presentation, Data Visualization Software, Spreadsheet Software, Data Validation, Interactive Data Visualization, Data Transformation, Data Cleansing, Data Analysis, SQL",https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/7b/912bc8f4254ff9abb7a18e33176292/Microsoft-Power-BI-Data-Analyst.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
16,Introduction to Data Science,99K reviews,"Skills you'll gain: SQL, Jupyter, Data Literacy, Data Mining, Peer Review, Data Modeling, Relational Databases, Stored Procedure, Databases, Data Science, Big Data, Computer Programming Tools, Query Languages, Data Analysis Software, Data Cleansing, Software Development Tools, GitHub, Business Analysis, Cloud Computing, Python Programming",https://www.coursera.org/specializations/introduction-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
17,Applied Data Science,59K reviews,"Skills you'll gain: Dashboard, Data Visualization Software, Plotly, Data Visualization, Predictive Modeling, Interactive Data Visualization, Exploratory Data Analysis, Data Wrangling, Data Analysis, Matplotlib, Pandas (Python Package), Seaborn, Data Presentation, Data Science, Data Import/Export, Programming Principles, Jupyter, Web Scraping, Python Programming, Machine Learning",https://www.coursera.org/specializations/applied-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8b/61b3208e9411e8bd0e199d89262fda/Applied_Data_Science.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
18,Data Analysis and Visualization Foundations,28K reviews,"Skills you'll gain: Data Storytelling, Data Visualization, Big Data, Data Visualization Software, Data Analysis, Dashboard, IBM Cognos Analytics, Statistical Analysis, Data Mining, Apache Hadoop, Tree Maps, Excel Formulas, Data Wrangling, Apache Hive, Data Collection, Data Mart, Data Science, Microsoft Excel, Data Quality, Data Cleansing",https://www.coursera.org/specializations/data-analysis-visualization-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6d/6fb8cc58064b8d85eae4cc5ed61448/Data-Analysis-Foundations-1200X1200.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
19,Applied Software Engineering Fundamentals,48K reviews,"Skills you'll gain: Software Development Life Cycle, Software Architecture, Linux Commands, Bash (Scripting Language), Shell Script, Git (Version Control System), GitHub, Flask (Web Framework), Software Design, Unit Testing, Version Control, File Management, Unix Shell, Scrum (Software Development), Linux, Application Deployment, Data Import/Export, Programming Principles, Web Scraping, Python Programming",https://www.coursera.org/specializations/software-engineering-fundamentals,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/8bfe45daa349be8202944fc4c2686d/Software-Engineering-Specialization.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
